train, val, val
6.5410, 5.920, 3.444 
6.4005, 5.204, 9.168 
6.1585, 4.455, 16.784
5.7225, 3.743, 26.150
5.5055, 3.199, 34.166
5.4557, 2.842, 40.648
5.2131, 2.540, 45.526
4.6103, 2.324, 49.688
5.0178, 2.191, 52.670
4.9117, 2.074, 54.840
4.9093, 1.992, 56.592
4.3537, 1.913, 57.932
4.6397, 1.864, 59.390
4.4534, 1.805, 60.646
4.4836, 1.755, 61.086
4.0588, 1.722, 62.140
4.4298, 1.717, 62.114
3.5958, 1.685, 62.804
4.3272, 1.652, 63.404
4.4583, 1.624, 64.056
4.1261, 1.620, 64.322
4.4242, 1.593, 64.544
4.0088, 1.572, 65.570
4.1316, 1.537, 65.928
4.1449, 1.494, 66.662
3.8589, 1.505, 66.720
